@MCTL:ack;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
MCTL:-10.0000;0.0000;;
@BRAK:ack;;
